# MARCHEN -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑱲	क	MARCHEN LETTER KA
𑱳	ख	MARCHEN LETTER KHA
𑱴	ग	MARCHEN LETTER GA
𑱵	ङ	MARCHEN LETTER NGA
𑱶	च	MARCHEN LETTER CA
𑱷	छ	MARCHEN LETTER CHA
𑱸	ज	MARCHEN LETTER JA
𑱹	ञ	MARCHEN LETTER NYA
𑱺	त	MARCHEN LETTER TA
𑱻	थ	MARCHEN LETTER THA
𑱼	द	MARCHEN LETTER DA
𑱽	न	MARCHEN LETTER NA
𑱾	प	MARCHEN LETTER PA
𑱿	फ	MARCHEN LETTER PHA
𑲀	ब	MARCHEN LETTER BA
𑲁	म	MARCHEN LETTER MA
𑲆	ॹ	MARCHEN LETTER ZHA
𑲇	ज़	MARCHEN LETTER ZA
𑲉	य	MARCHEN LETTER YA
𑲊	र	MARCHEN LETTER RA
𑲋	ल	MARCHEN LETTER LA
𑲌	श	MARCHEN LETTER SHA
𑲍	स	MARCHEN LETTER SA
𑲎	ह	MARCHEN LETTER HA
𑲏	अ	MARCHEN LETTER A
𑲰	ा	MARCHEN VOWEL SIGN AA
𑲱	ि	MARCHEN VOWEL SIGN I
𑲲	ु	MARCHEN VOWEL SIGN U
𑲳	े	MARCHEN VOWEL SIGN E
𑲴	ो	MARCHEN VOWEL SIGN O
𑲵	ं	MARCHEN SIGN ANUSVARA
𑲶	ँ	MARCHEN SIGN CANDRABINDU
