# MASARAM GONDI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑴀	अ	MASARAM GONDI LETTER A
𑴁	आ	MASARAM GONDI LETTER AA
𑴂	इ	MASARAM GONDI LETTER I
𑴃	ई	MASARAM GONDI LETTER II
𑴄	उ	MASARAM GONDI LETTER U
𑴅	ऊ	MASARAM GONDI LETTER UU
𑴆	ए	MASARAM GONDI LETTER E
𑴈	ऐ	MASARAM GONDI LETTER AI
𑴉	ओ	MASARAM GONDI LETTER O
𑴋	औ	MASARAM GONDI LETTER AU
𑴌	क	MASARAM GONDI LETTER KA
𑴍	ख	MASARAM GONDI LETTER KHA
𑴎	ग	MASARAM GONDI LETTER GA
𑴏	घ	MASARAM GONDI LETTER GHA
𑴐	ङ	MASARAM GONDI LETTER NGA
𑴑	च	MASARAM GONDI LETTER CA
𑴒	छ	MASARAM GONDI LETTER CHA
𑴓	ज	MASARAM GONDI LETTER JA
𑴔	झ	MASARAM GONDI LETTER JHA
𑴕	ञ	MASARAM GONDI LETTER NYA
𑴖	ट	MASARAM GONDI LETTER TTA
𑴗	ठ	MASARAM GONDI LETTER TTHA
𑴘	ड	MASARAM GONDI LETTER DDA
𑴙	ढ	MASARAM GONDI LETTER DDHA
𑴚	ण	MASARAM GONDI LETTER NNA
𑴛	त	MASARAM GONDI LETTER TA
𑴜	थ	MASARAM GONDI LETTER THA
𑴝	द	MASARAM GONDI LETTER DA
𑴞	ध	MASARAM GONDI LETTER DHA
𑴟	न	MASARAM GONDI LETTER NA
𑴠	प	MASARAM GONDI LETTER PA
𑴡	फ	MASARAM GONDI LETTER PHA
𑴢	ब	MASARAM GONDI LETTER BA
𑴣	भ	MASARAM GONDI LETTER BHA
𑴤	म	MASARAM GONDI LETTER MA
𑴥	य	MASARAM GONDI LETTER YA
𑴦	र	MASARAM GONDI LETTER RA
𑴧	ल	MASARAM GONDI LETTER LA
𑴨	व	MASARAM GONDI LETTER VA
𑴩	श	MASARAM GONDI LETTER SHA
𑴪	ष	MASARAM GONDI LETTER SSA
𑴫	स	MASARAM GONDI LETTER SA
𑴬	ह	MASARAM GONDI LETTER HA
𑴭	ळ	MASARAM GONDI LETTER LLA
𑴱	ा	MASARAM GONDI VOWEL SIGN AA
𑴲	ि	MASARAM GONDI VOWEL SIGN I
𑴳	ी	MASARAM GONDI VOWEL SIGN II
𑴴	ु	MASARAM GONDI VOWEL SIGN U
𑴵	ू	MASARAM GONDI VOWEL SIGN UU
𑴶	ृ	MASARAM GONDI VOWEL SIGN VOCALIC R
𑴺	े	MASARAM GONDI VOWEL SIGN E
𑴼	ै	MASARAM GONDI VOWEL SIGN AI
𑴽	ो	MASARAM GONDI VOWEL SIGN O
𑴿	ौ	MASARAM GONDI VOWEL SIGN AU
𑵀	ं	MASARAM GONDI SIGN ANUSVARA
𑵁	ः	MASARAM GONDI SIGN VISARGA
𑵂	़	MASARAM GONDI SIGN NUKTA
𑵐	०	MASARAM GONDI DIGIT ZERO
𑵑	१	MASARAM GONDI DIGIT ONE
𑵒	२	MASARAM GONDI DIGIT TWO
𑵓	३	MASARAM GONDI DIGIT THREE
𑵔	४	MASARAM GONDI DIGIT FOUR
𑵕	५	MASARAM GONDI DIGIT FIVE
𑵖	६	MASARAM GONDI DIGIT SIX
𑵗	७	MASARAM GONDI DIGIT SEVEN
𑵘	८	MASARAM GONDI DIGIT EIGHT
𑵙	९	MASARAM GONDI DIGIT NINE
