# MEETEI MAYEK -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ꫠ	ए	MEETEI MAYEK LETTER E
ꫡ	ओ	MEETEI MAYEK LETTER O
ꫢ	छ	MEETEI MAYEK LETTER CHA
ꫣ	ञ	MEETEI MAYEK LETTER NYA
ꫤ	ट	MEETEI MAYEK LETTER TTA
ꫥ	ठ	MEETEI MAYEK LETTER TTHA
ꫦ	ड	MEETEI MAYEK LETTER DDA
ꫧ	ढ	MEETEI MAYEK LETTER DDHA
ꫨ	ण	MEETEI MAYEK LETTER NNA
ꫩ	श	MEETEI MAYEK LETTER SHA
ꫪ	ष	MEETEI MAYEK LETTER SSA
ꫫ	ी	MEETEI MAYEK VOWEL SIGN II
ꫬ	ू	MEETEI MAYEK VOWEL SIGN UU
ꫮ	ौ	MEETEI MAYEK VOWEL SIGN AU
ꯄ	प	MEETEI MAYEK LETTER PA
ꯅ	न	MEETEI MAYEK LETTER NA
ꯏ	इ	MEETEI MAYEK LETTER I
ꯕ	ब	MEETEI MAYEK LETTER BA
꯰	०	MEETEI MAYEK DIGIT ZERO
꯱	१	MEETEI MAYEK DIGIT ONE
꯲	२	MEETEI MAYEK DIGIT TWO
꯳	३	MEETEI MAYEK DIGIT THREE
꯴	४	MEETEI MAYEK DIGIT FOUR
꯵	५	MEETEI MAYEK DIGIT FIVE
꯶	६	MEETEI MAYEK DIGIT SIX
꯷	७	MEETEI MAYEK DIGIT SEVEN
꯸	८	MEETEI MAYEK DIGIT EIGHT
꯹	९	MEETEI MAYEK DIGIT NINE
