# MODI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑘀	अ	MODI LETTER A
𑘁	आ	MODI LETTER AA
𑘂	इ	MODI LETTER I
𑘃	ई	MODI LETTER II
𑘄	उ	MODI LETTER U
𑘅	ऊ	MODI LETTER UU
𑘆	ऋ	MODI LETTER VOCALIC R
𑘇	ॠ	MODI LETTER VOCALIC RR
𑘈	ऌ	MODI LETTER VOCALIC L
𑘉	ॡ	MODI LETTER VOCALIC LL
𑘊	ए	MODI LETTER E
𑘋	ऐ	MODI LETTER AI
𑘌	ओ	MODI LETTER O
𑘍	औ	MODI LETTER AU
𑘎	क	MODI LETTER KA
𑘏	ख	MODI LETTER KHA
𑘐	ग	MODI LETTER GA
𑘑	घ	MODI LETTER GHA
𑘒	ङ	MODI LETTER NGA
𑘓	च	MODI LETTER CA
𑘔	छ	MODI LETTER CHA
𑘕	ज	MODI LETTER JA
𑘖	झ	MODI LETTER JHA
𑘗	ञ	MODI LETTER NYA
𑘘	ट	MODI LETTER TTA
𑘙	ठ	MODI LETTER TTHA
𑘚	ड	MODI LETTER DDA
𑘛	ढ	MODI LETTER DDHA
𑘜	ण	MODI LETTER NNA
𑘝	त	MODI LETTER TA
𑘞	थ	MODI LETTER THA
𑘟	द	MODI LETTER DA
𑘠	ध	MODI LETTER DHA
𑘡	न	MODI LETTER NA
𑘢	प	MODI LETTER PA
𑘣	फ	MODI LETTER PHA
𑘤	ब	MODI LETTER BA
𑘥	भ	MODI LETTER BHA
𑘦	म	MODI LETTER MA
𑘧	य	MODI LETTER YA
𑘨	र	MODI LETTER RA
𑘩	ल	MODI LETTER LA
𑘪	व	MODI LETTER VA
𑘫	श	MODI LETTER SHA
𑘬	ष	MODI LETTER SSA
𑘭	स	MODI LETTER SA
𑘮	ह	MODI LETTER HA
𑘯	ळ	MODI LETTER LLA
𑘰	ा	MODI VOWEL SIGN AA
𑘱	ि	MODI VOWEL SIGN I
𑘲	ी	MODI VOWEL SIGN II
𑘳	ु	MODI VOWEL SIGN U
𑘴	ू	MODI VOWEL SIGN UU
𑘵	ृ	MODI VOWEL SIGN VOCALIC R
𑘶	ॄ	MODI VOWEL SIGN VOCALIC RR
𑘷	ॢ	MODI VOWEL SIGN VOCALIC L
𑘸	ॣ	MODI VOWEL SIGN VOCALIC LL
𑘹	े	MODI VOWEL SIGN E
𑘺	ै	MODI VOWEL SIGN AI
𑘻	ो	MODI VOWEL SIGN O
𑘼	ौ	MODI VOWEL SIGN AU
𑘽	ं	MODI SIGN ANUSVARA
𑘾	ः	MODI SIGN VISARGA
𑘿	्	MODI SIGN VIRAMA
𑙁	।	MODI DANDA
𑙂	॥	MODI DOUBLE DANDA
𑙃	॰	MODI ABBREVIATION SIGN
𑙐	०	MODI DIGIT ZERO
𑙑	१	MODI DIGIT ONE
𑙒	२	MODI DIGIT TWO
𑙓	३	MODI DIGIT THREE
𑙔	४	MODI DIGIT FOUR
𑙕	५	MODI DIGIT FIVE
𑙖	६	MODI DIGIT SIX
𑙗	७	MODI DIGIT SEVEN
𑙘	८	MODI DIGIT EIGHT
𑙙	९	MODI DIGIT NINE
