# MONGOLIAN -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
᠐	०	MONGOLIAN DIGIT ZERO
᠑	१	MONGOLIAN DIGIT ONE
᠒	२	MONGOLIAN DIGIT TWO
᠓	३	MONGOLIAN DIGIT THREE
᠔	४	MONGOLIAN DIGIT FOUR
᠕	५	MONGOLIAN DIGIT FIVE
᠖	६	MONGOLIAN DIGIT SIX
᠗	७	MONGOLIAN DIGIT SEVEN
᠘	८	MONGOLIAN DIGIT EIGHT
᠙	९	MONGOLIAN DIGIT NINE
ᠠ	अ	MONGOLIAN LETTER A
ᠡ	ए	MONGOLIAN LETTER E
ᠢ	इ	MONGOLIAN LETTER I
ᠣ	ओ	MONGOLIAN LETTER O
ᠤ	उ	MONGOLIAN LETTER U
ᠥ	ॳ	MONGOLIAN LETTER OE
ᠦ	ॶ	MONGOLIAN LETTER UE
ᠨ	न	MONGOLIAN LETTER NA
ᠪ	ब	MONGOLIAN LETTER BA
ᠫ	प	MONGOLIAN LETTER PA
ᠬ	क़	MONGOLIAN LETTER QA
ᠭ	ग	MONGOLIAN LETTER GA
ᠮ	म	MONGOLIAN LETTER MA
ᠯ	ल	MONGOLIAN LETTER LA
ᠰ	स	MONGOLIAN LETTER SA
ᠱ	श	MONGOLIAN LETTER SHA
ᠲ	त	MONGOLIAN LETTER TA
ᠳ	द	MONGOLIAN LETTER DA
ᠴ	छ	MONGOLIAN LETTER CHA
ᠵ	ज	MONGOLIAN LETTER JA
ᠶ	य	MONGOLIAN LETTER YA
ᠷ	र	MONGOLIAN LETTER RA
ᠹ	फ़	MONGOLIAN LETTER FA
ᠺ	क	MONGOLIAN LETTER KA
ᠻ	ख	MONGOLIAN LETTER KHA
ᠽ	ज़	MONGOLIAN LETTER ZA
