# MULTANI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑊀	अ	MULTANI LETTER A
𑊁	इ	MULTANI LETTER I
𑊂	उ	MULTANI LETTER U
𑊃	ए	MULTANI LETTER E
𑊄	क	MULTANI LETTER KA
𑊅	ख	MULTANI LETTER KHA
𑊆	ग	MULTANI LETTER GA
𑊈	घ	MULTANI LETTER GHA
𑊊	च	MULTANI LETTER CA
𑊋	छ	MULTANI LETTER CHA
𑊌	ज	MULTANI LETTER JA
𑊍	ॼ	MULTANI LETTER JJA
𑊏	ञ	MULTANI LETTER NYA
𑊐	ट	MULTANI LETTER TTA
𑊑	ठ	MULTANI LETTER TTHA
𑊒	ड	MULTANI LETTER DDA
𑊓	ॾ	MULTANI LETTER DDDA
𑊔	ढ	MULTANI LETTER DDHA
𑊕	ण	MULTANI LETTER NNA
𑊖	त	MULTANI LETTER TA
𑊗	थ	MULTANI LETTER THA
𑊘	द	MULTANI LETTER DA
𑊙	ध	MULTANI LETTER DHA
𑊚	न	MULTANI LETTER NA
𑊛	प	MULTANI LETTER PA
𑊜	फ	MULTANI LETTER PHA
𑊝	ब	MULTANI LETTER BA
𑊟	भ	MULTANI LETTER BHA
𑊠	म	MULTANI LETTER MA
𑊡	य	MULTANI LETTER YA
𑊢	र	MULTANI LETTER RA
𑊣	ल	MULTANI LETTER LA
𑊤	व	MULTANI LETTER VA
𑊥	स	MULTANI LETTER SA
𑊦	ह	MULTANI LETTER HA
𑊧	ऱ	MULTANI LETTER RRA
𑊨	ढ़	MULTANI LETTER RHA
