# MYANMAR -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
က	क	MYANMAR LETTER KA
ခ	ख	MYANMAR LETTER KHA
ဂ	ग	MYANMAR LETTER GA
ဃ	घ	MYANMAR LETTER GHA
င	ङ	MYANMAR LETTER NGA
စ	च	MYANMAR LETTER CA
ဆ	छ	MYANMAR LETTER CHA
ဇ	ज	MYANMAR LETTER JA
ဈ	झ	MYANMAR LETTER JHA
ဉ	ञ	MYANMAR LETTER NYA
ဋ	ट	MYANMAR LETTER TTA
ဌ	ठ	MYANMAR LETTER TTHA
ဍ	ड	MYANMAR LETTER DDA
ဎ	ढ	MYANMAR LETTER DDHA
ဏ	ण	MYANMAR LETTER NNA
တ	त	MYANMAR LETTER TA
ထ	थ	MYANMAR LETTER THA
ဒ	द	MYANMAR LETTER DA
ဓ	ध	MYANMAR LETTER DHA
န	न	MYANMAR LETTER NA
ပ	प	MYANMAR LETTER PA
ဖ	फ	MYANMAR LETTER PHA
ဗ	ब	MYANMAR LETTER BA
ဘ	भ	MYANMAR LETTER BHA
မ	म	MYANMAR LETTER MA
ယ	य	MYANMAR LETTER YA
ရ	र	MYANMAR LETTER RA
လ	ल	MYANMAR LETTER LA
သ	स	MYANMAR LETTER SA
ဟ	ह	MYANMAR LETTER HA
ဠ	ळ	MYANMAR LETTER LLA
အ	अ	MYANMAR LETTER A
ဣ	इ	MYANMAR LETTER I
ဤ	ई	MYANMAR LETTER II
ဥ	उ	MYANMAR LETTER U
ဦ	ऊ	MYANMAR LETTER UU
ဧ	ए	MYANMAR LETTER E
ဩ	ओ	MYANMAR LETTER O
ဪ	औ	MYANMAR LETTER AU
ာ	ा	MYANMAR VOWEL SIGN AA
ိ	ि	MYANMAR VOWEL SIGN I
ီ	ी	MYANMAR VOWEL SIGN II
ု	ु	MYANMAR VOWEL SIGN U
ူ	ू	MYANMAR VOWEL SIGN UU
ေ	े	MYANMAR VOWEL SIGN E
ဲ	ै	MYANMAR VOWEL SIGN AI
ံ	ं	MYANMAR SIGN ANUSVARA
း	ः	MYANMAR SIGN VISARGA
္	्	MYANMAR SIGN VIRAMA
၀	०	MYANMAR DIGIT ZERO
၁	१	MYANMAR DIGIT ONE
၂	२	MYANMAR DIGIT TWO
၃	३	MYANMAR DIGIT THREE
၄	४	MYANMAR DIGIT FOUR
၅	५	MYANMAR DIGIT FIVE
၆	६	MYANMAR DIGIT SIX
၇	७	MYANMAR DIGIT SEVEN
၈	८	MYANMAR DIGIT EIGHT
၉	९	MYANMAR DIGIT NINE
ၐ	श	MYANMAR LETTER SHA
ၑ	ष	MYANMAR LETTER SSA
ၒ	ऋ	MYANMAR LETTER VOCALIC R
ၓ	ॠ	MYANMAR LETTER VOCALIC RR
ၔ	ऌ	MYANMAR LETTER VOCALIC L
ၕ	ॡ	MYANMAR LETTER VOCALIC LL
ၖ	ृ	MYANMAR VOWEL SIGN VOCALIC R
ၗ	ॄ	MYANMAR VOWEL SIGN VOCALIC RR
ၘ	ॢ	MYANMAR VOWEL SIGN VOCALIC L
ၙ	ॣ	MYANMAR VOWEL SIGN VOCALIC LL
