# NEW TAI LUE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᦱ	ा	NEW TAI LUE VOWEL SIGN AA
ᦲ	ी	NEW TAI LUE VOWEL SIGN II
ᦳ	ु	NEW TAI LUE VOWEL SIGN U
ᦴ	ू	NEW TAI LUE VOWEL SIGN UU
ᦵ	े	NEW TAI LUE VOWEL SIGN E
ᦷ	ो	NEW TAI LUE VOWEL SIGN O
ᦹ	ॖ	NEW TAI LUE VOWEL SIGN UE
᧐	०	NEW TAI LUE DIGIT ZERO
᧑	१	NEW TAI LUE DIGIT ONE
᧒	२	NEW TAI LUE DIGIT TWO
᧓	३	NEW TAI LUE DIGIT THREE
᧔	४	NEW TAI LUE DIGIT FOUR
᧕	५	NEW TAI LUE DIGIT FIVE
᧖	६	NEW TAI LUE DIGIT SIX
᧗	७	NEW TAI LUE DIGIT SEVEN
᧘	८	NEW TAI LUE DIGIT EIGHT
᧙	९	NEW TAI LUE DIGIT NINE
