# PAU CIN HAU -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑫀	प	PAU CIN HAU LETTER PA
𑫁	क	PAU CIN HAU LETTER KA
𑫂	ल	PAU CIN HAU LETTER LA
𑫃	म	PAU CIN HAU LETTER MA
𑫄	द	PAU CIN HAU LETTER DA
𑫅	ज़	PAU CIN HAU LETTER ZA
𑫆	व	PAU CIN HAU LETTER VA
𑫇	ङ	PAU CIN HAU LETTER NGA
𑫈	ह	PAU CIN HAU LETTER HA
𑫉	ग	PAU CIN HAU LETTER GA
𑫊	ख	PAU CIN HAU LETTER KHA
𑫋	स	PAU CIN HAU LETTER SA
𑫌	ब	PAU CIN HAU LETTER BA
𑫍	च	PAU CIN HAU LETTER CA
𑫎	त	PAU CIN HAU LETTER TA
𑫏	थ	PAU CIN HAU LETTER THA
𑫐	न	PAU CIN HAU LETTER NA
𑫑	फ	PAU CIN HAU LETTER PHA
𑫒	र	PAU CIN HAU LETTER RA
𑫓	फ़	PAU CIN HAU LETTER FA
𑫔	छ	PAU CIN HAU LETTER CHA
𑫕	अ	PAU CIN HAU LETTER A
𑫖	ए	PAU CIN HAU LETTER E
𑫗	इ	PAU CIN HAU LETTER I
𑫘	ओ	PAU CIN HAU LETTER O
𑫙	उ	PAU CIN HAU LETTER U
