# SAURASHTRA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ꢀ	ं	SAURASHTRA SIGN ANUSVARA
ꢁ	ः	SAURASHTRA SIGN VISARGA
ꢂ	अ	SAURASHTRA LETTER A
ꢃ	आ	SAURASHTRA LETTER AA
ꢄ	इ	SAURASHTRA LETTER I
ꢅ	ई	SAURASHTRA LETTER II
ꢆ	उ	SAURASHTRA LETTER U
ꢇ	ऊ	SAURASHTRA LETTER UU
ꢈ	ऋ	SAURASHTRA LETTER VOCALIC R
ꢉ	ॠ	SAURASHTRA LETTER VOCALIC RR
ꢊ	ऌ	SAURASHTRA LETTER VOCALIC L
ꢋ	ॡ	SAURASHTRA LETTER VOCALIC LL
ꢌ	ए	SAURASHTRA LETTER E
ꢎ	ऐ	SAURASHTRA LETTER AI
ꢏ	ओ	SAURASHTRA LETTER O
ꢑ	औ	SAURASHTRA LETTER AU
ꢒ	क	SAURASHTRA LETTER KA
ꢓ	ख	SAURASHTRA LETTER KHA
ꢔ	ग	SAURASHTRA LETTER GA
ꢕ	घ	SAURASHTRA LETTER GHA
ꢖ	ङ	SAURASHTRA LETTER NGA
ꢗ	च	SAURASHTRA LETTER CA
ꢘ	छ	SAURASHTRA LETTER CHA
ꢙ	ज	SAURASHTRA LETTER JA
ꢚ	झ	SAURASHTRA LETTER JHA
ꢛ	ञ	SAURASHTRA LETTER NYA
ꢜ	ट	SAURASHTRA LETTER TTA
ꢝ	ठ	SAURASHTRA LETTER TTHA
ꢞ	ड	SAURASHTRA LETTER DDA
ꢟ	ढ	SAURASHTRA LETTER DDHA
ꢠ	ण	SAURASHTRA LETTER NNA
ꢡ	त	SAURASHTRA LETTER TA
ꢢ	थ	SAURASHTRA LETTER THA
ꢣ	द	SAURASHTRA LETTER DA
ꢤ	ध	SAURASHTRA LETTER DHA
ꢥ	न	SAURASHTRA LETTER NA
ꢦ	प	SAURASHTRA LETTER PA
ꢧ	फ	SAURASHTRA LETTER PHA
ꢨ	ब	SAURASHTRA LETTER BA
ꢩ	भ	SAURASHTRA LETTER BHA
ꢪ	म	SAURASHTRA LETTER MA
ꢫ	य	SAURASHTRA LETTER YA
ꢬ	र	SAURASHTRA LETTER RA
ꢭ	ल	SAURASHTRA LETTER LA
ꢮ	व	SAURASHTRA LETTER VA
ꢯ	श	SAURASHTRA LETTER SHA
ꢰ	ष	SAURASHTRA LETTER SSA
ꢱ	स	SAURASHTRA LETTER SA
ꢲ	ह	SAURASHTRA LETTER HA
ꢳ	ळ	SAURASHTRA LETTER LLA
ꢵ	ा	SAURASHTRA VOWEL SIGN AA
ꢶ	ि	SAURASHTRA VOWEL SIGN I
ꢷ	ी	SAURASHTRA VOWEL SIGN II
ꢸ	ु	SAURASHTRA VOWEL SIGN U
ꢹ	ू	SAURASHTRA VOWEL SIGN UU
ꢺ	ृ	SAURASHTRA VOWEL SIGN VOCALIC R
ꢻ	ॄ	SAURASHTRA VOWEL SIGN VOCALIC RR
ꢼ	ॢ	SAURASHTRA VOWEL SIGN VOCALIC L
ꢽ	ॣ	SAURASHTRA VOWEL SIGN VOCALIC LL
ꢾ	े	SAURASHTRA VOWEL SIGN E
ꣀ	ै	SAURASHTRA VOWEL SIGN AI
ꣁ	ो	SAURASHTRA VOWEL SIGN O
ꣃ	ौ	SAURASHTRA VOWEL SIGN AU
꣄	्	SAURASHTRA SIGN VIRAMA
ꣅ	ँ	SAURASHTRA SIGN CANDRABINDU
꣎	।	SAURASHTRA DANDA
꣏	॥	SAURASHTRA DOUBLE DANDA
꣐	०	SAURASHTRA DIGIT ZERO
꣑	१	SAURASHTRA DIGIT ONE
꣒	२	SAURASHTRA DIGIT TWO
꣓	३	SAURASHTRA DIGIT THREE
꣔	४	SAURASHTRA DIGIT FOUR
꣕	५	SAURASHTRA DIGIT FIVE
꣖	६	SAURASHTRA DIGIT SIX
꣗	७	SAURASHTRA DIGIT SEVEN
꣘	८	SAURASHTRA DIGIT EIGHT
꣙	९	SAURASHTRA DIGIT NINE
