# SIDDHAM -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑖀	अ	SIDDHAM LETTER A
𑖁	आ	SIDDHAM LETTER AA
𑖂	इ	SIDDHAM LETTER I
𑖃	ई	SIDDHAM LETTER II
𑖄	उ	SIDDHAM LETTER U
𑖅	ऊ	SIDDHAM LETTER UU
𑖆	ऋ	SIDDHAM LETTER VOCALIC R
𑖇	ॠ	SIDDHAM LETTER VOCALIC RR
𑖈	ऌ	SIDDHAM LETTER VOCALIC L
𑖉	ॡ	SIDDHAM LETTER VOCALIC LL
𑖊	ए	SIDDHAM LETTER E
𑖋	ऐ	SIDDHAM LETTER AI
𑖌	ओ	SIDDHAM LETTER O
𑖍	औ	SIDDHAM LETTER AU
𑖎	क	SIDDHAM LETTER KA
𑖏	ख	SIDDHAM LETTER KHA
𑖐	ग	SIDDHAM LETTER GA
𑖑	घ	SIDDHAM LETTER GHA
𑖒	ङ	SIDDHAM LETTER NGA
𑖓	च	SIDDHAM LETTER CA
𑖔	छ	SIDDHAM LETTER CHA
𑖕	ज	SIDDHAM LETTER JA
𑖖	झ	SIDDHAM LETTER JHA
𑖗	ञ	SIDDHAM LETTER NYA
𑖘	ट	SIDDHAM LETTER TTA
𑖙	ठ	SIDDHAM LETTER TTHA
𑖚	ड	SIDDHAM LETTER DDA
𑖛	ढ	SIDDHAM LETTER DDHA
𑖜	ण	SIDDHAM LETTER NNA
𑖝	त	SIDDHAM LETTER TA
𑖞	थ	SIDDHAM LETTER THA
𑖟	द	SIDDHAM LETTER DA
𑖠	ध	SIDDHAM LETTER DHA
𑖡	न	SIDDHAM LETTER NA
𑖢	प	SIDDHAM LETTER PA
𑖣	फ	SIDDHAM LETTER PHA
𑖤	ब	SIDDHAM LETTER BA
𑖥	भ	SIDDHAM LETTER BHA
𑖦	म	SIDDHAM LETTER MA
𑖧	य	SIDDHAM LETTER YA
𑖨	र	SIDDHAM LETTER RA
𑖩	ल	SIDDHAM LETTER LA
𑖪	व	SIDDHAM LETTER VA
𑖫	श	SIDDHAM LETTER SHA
𑖬	ष	SIDDHAM LETTER SSA
𑖭	स	SIDDHAM LETTER SA
𑖮	ह	SIDDHAM LETTER HA
𑖯	ा	SIDDHAM VOWEL SIGN AA
𑖰	ि	SIDDHAM VOWEL SIGN I
𑖱	ी	SIDDHAM VOWEL SIGN II
𑖲	ु	SIDDHAM VOWEL SIGN U
𑖳	ू	SIDDHAM VOWEL SIGN UU
𑖴	ृ	SIDDHAM VOWEL SIGN VOCALIC R
𑖵	ॄ	SIDDHAM VOWEL SIGN VOCALIC RR
𑖸	े	SIDDHAM VOWEL SIGN E
𑖹	ै	SIDDHAM VOWEL SIGN AI
𑖺	ो	SIDDHAM VOWEL SIGN O
𑖻	ौ	SIDDHAM VOWEL SIGN AU
𑖼	ँ	SIDDHAM SIGN CANDRABINDU
𑖽	ं	SIDDHAM SIGN ANUSVARA
𑖾	ः	SIDDHAM SIGN VISARGA
𑖿	्	SIDDHAM SIGN VIRAMA
𑗀	़	SIDDHAM SIGN NUKTA
𑗂	।	SIDDHAM DANDA
𑗃	॥	SIDDHAM DOUBLE DANDA
