# SUNDANESE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᮃ	अ	SUNDANESE LETTER A
ᮄ	इ	SUNDANESE LETTER I
ᮅ	उ	SUNDANESE LETTER U
ᮇ	ओ	SUNDANESE LETTER O
ᮈ	ए	SUNDANESE LETTER E
ᮊ	क	SUNDANESE LETTER KA
ᮋ	क़	SUNDANESE LETTER QA
ᮌ	ग	SUNDANESE LETTER GA
ᮍ	ङ	SUNDANESE LETTER NGA
ᮎ	च	SUNDANESE LETTER CA
ᮏ	ज	SUNDANESE LETTER JA
ᮐ	ज़	SUNDANESE LETTER ZA
ᮑ	ञ	SUNDANESE LETTER NYA
ᮒ	त	SUNDANESE LETTER TA
ᮓ	द	SUNDANESE LETTER DA
ᮔ	न	SUNDANESE LETTER NA
ᮕ	प	SUNDANESE LETTER PA
ᮖ	फ़	SUNDANESE LETTER FA
ᮗ	व	SUNDANESE LETTER VA
ᮘ	ब	SUNDANESE LETTER BA
ᮙ	म	SUNDANESE LETTER MA
ᮚ	य	SUNDANESE LETTER YA
ᮛ	र	SUNDANESE LETTER RA
ᮜ	ल	SUNDANESE LETTER LA
ᮞ	स	SUNDANESE LETTER SA
ᮠ	ह	SUNDANESE LETTER HA
᮫	्	SUNDANESE SIGN VIRAMA
ᮮ	ख	SUNDANESE LETTER KHA
᮰	०	SUNDANESE DIGIT ZERO
᮱	१	SUNDANESE DIGIT ONE
᮲	२	SUNDANESE DIGIT TWO
᮳	३	SUNDANESE DIGIT THREE
᮴	४	SUNDANESE DIGIT FOUR
᮵	५	SUNDANESE DIGIT FIVE
᮶	६	SUNDANESE DIGIT SIX
᮷	७	SUNDANESE DIGIT SEVEN
᮸	८	SUNDANESE DIGIT EIGHT
᮹	९	SUNDANESE DIGIT NINE
ᮽ	भ	SUNDANESE LETTER BHA
