# TAGALOG -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᜀ	अ	TAGALOG LETTER A
ᜁ	इ	TAGALOG LETTER I
ᜂ	उ	TAGALOG LETTER U
ᜃ	क	TAGALOG LETTER KA
ᜄ	ग	TAGALOG LETTER GA
ᜅ	ङ	TAGALOG LETTER NGA
ᜆ	त	TAGALOG LETTER TA
ᜇ	द	TAGALOG LETTER DA
ᜈ	न	TAGALOG LETTER NA
ᜉ	प	TAGALOG LETTER PA
ᜊ	ब	TAGALOG LETTER BA
ᜋ	म	TAGALOG LETTER MA
ᜌ	य	TAGALOG LETTER YA
ᜎ	ल	TAGALOG LETTER LA
ᜐ	स	TAGALOG LETTER SA
ᜑ	ह	TAGALOG LETTER HA
ᜒ	ि	TAGALOG VOWEL SIGN I
ᜓ	ु	TAGALOG VOWEL SIGN U
᜔	्	TAGALOG SIGN VIRAMA
