# TAI LE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᥐ	क	TAI LE LETTER KA
ᥒ	ङ	TAI LE LETTER NGA
ᥔ	स	TAI LE LETTER SA
ᥕ	य	TAI LE LETTER YA
ᥖ	त	TAI LE LETTER TA
ᥗ	थ	TAI LE LETTER THA
ᥘ	ल	TAI LE LETTER LA
ᥙ	प	TAI LE LETTER PA
ᥚ	फ	TAI LE LETTER PHA
ᥛ	म	TAI LE LETTER MA
ᥜ	फ़	TAI LE LETTER FA
ᥝ	व	TAI LE LETTER VA
ᥞ	ह	TAI LE LETTER HA
ᥟ	क़	TAI LE LETTER QA
ᥠ	ख	TAI LE LETTER KHA
ᥢ	न	TAI LE LETTER NA
ᥣ	अ	TAI LE LETTER A
ᥤ	इ	TAI LE LETTER I
ᥧ	उ	TAI LE LETTER U
ᥩ	ओ	TAI LE LETTER O
ᥪ	ॶ	TAI LE LETTER UE
ᥫ	ए	TAI LE LETTER E
ᥭ	ऐ	TAI LE LETTER AI
