# TELUGU -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ఁ	ँ	TELUGU SIGN CANDRABINDU
ం	ं	TELUGU SIGN ANUSVARA
ః	ः	TELUGU SIGN VISARGA
అ	अ	TELUGU LETTER A
ఆ	आ	TELUGU LETTER AA
ఇ	इ	TELUGU LETTER I
ఈ	ई	TELUGU LETTER II
ఉ	उ	TELUGU LETTER U
ఊ	ऊ	TELUGU LETTER UU
ఋ	ऋ	TELUGU LETTER VOCALIC R
ఌ	ऌ	TELUGU LETTER VOCALIC L
ఎ	ए	TELUGU LETTER E
ఐ	ऐ	TELUGU LETTER AI
ఒ	ओ	TELUGU LETTER O
ఔ	औ	TELUGU LETTER AU
క	क	TELUGU LETTER KA
ఖ	ख	TELUGU LETTER KHA
గ	ग	TELUGU LETTER GA
ఘ	घ	TELUGU LETTER GHA
ఙ	ङ	TELUGU LETTER NGA
చ	च	TELUGU LETTER CA
ఛ	छ	TELUGU LETTER CHA
జ	ज	TELUGU LETTER JA
ఝ	झ	TELUGU LETTER JHA
ఞ	ञ	TELUGU LETTER NYA
ట	ट	TELUGU LETTER TTA
ఠ	ठ	TELUGU LETTER TTHA
డ	ड	TELUGU LETTER DDA
ఢ	ढ	TELUGU LETTER DDHA
ణ	ण	TELUGU LETTER NNA
త	त	TELUGU LETTER TA
థ	थ	TELUGU LETTER THA
ద	द	TELUGU LETTER DA
ధ	ध	TELUGU LETTER DHA
న	न	TELUGU LETTER NA
ప	प	TELUGU LETTER PA
ఫ	फ	TELUGU LETTER PHA
బ	ब	TELUGU LETTER BA
భ	भ	TELUGU LETTER BHA
మ	म	TELUGU LETTER MA
య	य	TELUGU LETTER YA
ర	र	TELUGU LETTER RA
ఱ	ऱ	TELUGU LETTER RRA
ల	ल	TELUGU LETTER LA
ళ	ळ	TELUGU LETTER LLA
ఴ	ऴ	TELUGU LETTER LLLA
వ	व	TELUGU LETTER VA
శ	श	TELUGU LETTER SHA
ష	ष	TELUGU LETTER SSA
స	स	TELUGU LETTER SA
హ	ह	TELUGU LETTER HA
ఽ	ऽ	TELUGU SIGN AVAGRAHA
ా	ा	TELUGU VOWEL SIGN AA
ి	ि	TELUGU VOWEL SIGN I
ీ	ी	TELUGU VOWEL SIGN II
ు	ु	TELUGU VOWEL SIGN U
ూ	ू	TELUGU VOWEL SIGN UU
ృ	ृ	TELUGU VOWEL SIGN VOCALIC R
ౄ	ॄ	TELUGU VOWEL SIGN VOCALIC RR
ె	े	TELUGU VOWEL SIGN E
ై	ै	TELUGU VOWEL SIGN AI
ొ	ो	TELUGU VOWEL SIGN O
ౌ	ौ	TELUGU VOWEL SIGN AU
్	्	TELUGU SIGN VIRAMA
ౠ	ॠ	TELUGU LETTER VOCALIC RR
ౡ	ॡ	TELUGU LETTER VOCALIC LL
ౢ	ॢ	TELUGU VOWEL SIGN VOCALIC L
ౣ	ॣ	TELUGU VOWEL SIGN VOCALIC LL
౦	०	TELUGU DIGIT ZERO
౧	१	TELUGU DIGIT ONE
౨	२	TELUGU DIGIT TWO
౩	३	TELUGU DIGIT THREE
౪	४	TELUGU DIGIT FOUR
౫	५	TELUGU DIGIT FIVE
౬	६	TELUGU DIGIT SIX
౭	७	TELUGU DIGIT SEVEN
౮	८	TELUGU DIGIT EIGHT
౯	९	TELUGU DIGIT NINE
