# WANCHO -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𞋀	आ	WANCHO LETTER AA
𞋁	अ	WANCHO LETTER A
𞋂	ब	WANCHO LETTER BA
𞋃	च	WANCHO LETTER CA
𞋄	द	WANCHO LETTER DA
𞋅	ग	WANCHO LETTER GA
𞋆	य	WANCHO LETTER YA
𞋇	फ	WANCHO LETTER PHA
𞋈	ल	WANCHO LETTER LA
𞋉	न	WANCHO LETTER NA
𞋊	प	WANCHO LETTER PA
𞋋	त	WANCHO LETTER TA
𞋌	थ	WANCHO LETTER THA
𞋍	फ़	WANCHO LETTER FA
𞋎	स	WANCHO LETTER SA
𞋏	श	WANCHO LETTER SHA
𞋐	ज	WANCHO LETTER JA
𞋑	ज़	WANCHO LETTER ZA
𞋓	व	WANCHO LETTER VA
𞋔	क	WANCHO LETTER KA
𞋕	ओ	WANCHO LETTER O
𞋖	औ	WANCHO LETTER AU
𞋗	र	WANCHO LETTER RA
𞋘	म	WANCHO LETTER MA
𞋙	ख	WANCHO LETTER KHA
𞋚	ह	WANCHO LETTER HA
𞋛	ए	WANCHO LETTER E
𞋜	इ	WANCHO LETTER I
𞋝	ङ	WANCHO LETTER NGA
𞋞	उ	WANCHO LETTER U
𞋩	ञ	WANCHO LETTER NYA
𞋰	०	WANCHO DIGIT ZERO
𞋱	१	WANCHO DIGIT ONE
𞋲	२	WANCHO DIGIT TWO
𞋳	३	WANCHO DIGIT THREE
𞋴	४	WANCHO DIGIT FOUR
𞋵	५	WANCHO DIGIT FIVE
𞋶	६	WANCHO DIGIT SIX
𞋷	७	WANCHO DIGIT SEVEN
𞋸	८	WANCHO DIGIT EIGHT
𞋹	९	WANCHO DIGIT NINE
